CODIGOINT;ltMix;EAN;CODIGOUNI;DESCRICAO
7708273;S;7898336970110;UN;VINHO TRADICAO BRANCO SECO 750ML
7708274;S;7898336970035;UN;VINHO TRADICAO TINTO SECO 750ML
7708276;S;7896005809020;UN;REFRESCO FRISCO LARANJA/MORANGO 25GR
7708277;S;7898336970073;UN;VINHO TRADICAO TINTO SUAVE 750ML
7708278;S;7898336970509;UN;VINHO TRADICAO BORDO SEMISEC 750ML
7708279;S;7898335587944;UN;BANHA ALIBEM POTE 900GR
7708282;S;7890865100792;UN;FEIRA DE INOX DIVERSOS UN
7708292;S;7891000092606;UN;CHOCOLATE NESTLE LOLO 28GR
7708293;S;7891515430122;UN;FGO FILE PERDIGAO CONG 800G
7708296;S;7896504305603;UN;QUEIJO MUSSARELA SANTA CLARA  FAT 400g
7708298;S;7896504302305;UN;LINGUICA CALABRESA SANTA CLARA FAT 100GR
7708304;S;7896098904091;UN;LIMPADOR PERF YPE JARDIM SECRETO 500 ML
7708316;S;7898330160067;UN;PAO NUTRIPA FORMA 450GR
7708346;S;7891150064348;UN;DETERGENTE PO OMO LAV PERFEITA L1,6P1,4K
7708356;S;7898557660333;UN;QUENTAO ADEGA DANI SEM ALCOOL 1L
7708361;S;7790036008165;UN;VINHO BODEGA PRIVADA BLEND BRANCO 750ML
7708364;S;7622210862679;UN;CHICLE TRIDENT WATERMELON 30,6g
7708365;S;7622210839602;UN;CHICLE TRIDENT BLUEBERRY 30,6g
7708372;S;7891097000836;UN;IOG BATAVO QUARK NUV GOIABA 100GR
7708378;S;7891024041628;UN;CREME DENTAL COLGATE SENS ALIV IMED 90g
7708381;S;7891024040690;UN;ANTI SEPT BUCAL COLGATE PLAX FUSION 350M
7708382;S;7891024073001;UN;ESCOVA DENTAL COLGATE BATMAN/MARAVILHA
7708388;S;7891024034019;UN;SABONETE PROTEX MACADAMIA 125G
7708389;S;7891024114544;UN;SABONETE PROTEX LIMPEZA PROFUNDA 125G
7708391;S;7891024042267;UN;SABONETE PALMOLIVE TURMALINA C6/85G
7708392;S;7891024042274;UN;SABONETE PALMOLIVE KARITE C/6 85G
7708394;S;7891024041031;UN;LIMPADOR MULTIUSO AJAX LAV E MENTA 500ML
7708395;S;7891024041062;UN;LIMPADOR MULTIUSO AJAX EUCAP E MACA500ML
7708396;S;7891024042281;UN;LIMPADOR MULTIUSO AJAX CITRUS/FLOR 500ML
7708414;S;7896547501383;UN;COCKTAIL COROTE ACAI E CATUABA PET 500ML
7708422;S;7896547500089;UN;COCKTAIL COROTE CACHACA PET 500ML
7708441;S;7899069400035;UN;ESPUMA MAGICA PROCAO 400ML
7708444;S;7897520009353;UN;COLONIA PROCAO FILHOTES 120ML
7708447;S;7897520009254;UN;DESINFETANTE PROCAO CITRONELA 2LT
7708469;S;7898640214597;UN;CANECA PORCELANA EU AMO VOCE 300ML
7708470;S;7898640213439;UN;CANECA PORCELANA MELHOR PAI UN
7708489;S;7897520009377;UN;BANHO A SECO CAES PROCAO 200ML
7708491;S;7897520100500;UN;ELIMINADOR ODORES MARINE 2L
7708506;S;7898185414285;UN;CREME DENTAL DC GEL ROMERO BRITO 50G
7708514;S;7898625000399;UN;BEBIDA LACTEA LATVIDA CHOCOLATE 200ML
7708516;S;7896189223025;UN;SILICONE PROAUTO SECAGEM RAPIDA 100ML
